id	name_jp	name	tag
0	NULL	NULL	bln
1	アタックナイフ	Rebel Knife	
2	軽量化ナイフ	Light Knife	
3	ブリズダガー	Sleet Dagger	
4	真紅のナイフ	Crimson Knife	
5	ククリナイフ	Kukri	
6	イグナイター	Igniter	
7	シルバーダガー	Silver Dagger	
8	黒曜石のナイフ	Obsidian Knife	
9	スキナーナイフ	Skinning Knife	
10	高級コピスナイフ	Quality Kopis	
11	キリングメス	Killing Scalpel	
12	超電磁ダガー	Superconductor	
13	ディルクナイフ	Dirk	
14	首刈りスプーン	Headhunter	
15	パリングダガー	Parrying Dagger	
16	アゾットダガー	Azoth Dagger	
17	怪盗紳士ステッキ	Arsene's Cane	
18	妖刀ニヒル	Nihil	
19	ミセリコルデ	Misericorde	
20	パラダイスロスト	Paradise Lost	
21	武器・0x015	Weapon 0x015	flr
22	脱獄スプーン	Jailbreaker	
23	生存者のナイフ	Survivor's Knife	
24	武器・0x018	Weapon 0x018	flr
25	武器・0x019	Weapon 0x019	flr
26	武器・0x01A	Weapon 0x01A	flr
27	武器・0x01B	Weapon 0x01B	flr
28	武器・0x01C	Weapon 0x01C	flr
29	武器・0x01D	Weapon 0x01D	flr
30	武器・0x01E	Weapon 0x01E	flr
31	武器・0x01F	Weapon 0x01F	flr
32	武器・0x020	Weapon 0x020	flr
33	鉄パイプ	Metal Pipe	
34	釘バット	Spiked Bat	
35	軽量化ロッド	Lightweight Rod	
36	ヘルスラッガー	Hell Slugger	
37	重鋼管	Heavy Steel Pipe	
38	武器・0x026	Weapon 0x026	flr
39	ヘビーメイス	Heavy Mace	
40	大腿骨ロッド	Femur Club	
41	鬼パイプ	Demon Pipe	
42	昏睡棒	Sleep Stick	
43	スパイクロッド	Spike Rod	
44	高級鉄パイプ	Iron Pipe	
45	狼牙棒	Wolf Fang Pole	
46	ダグザの棍棒	Dagda's Club	
47	ガイアロッド	Gaea Rod	
48	ヘラクレスの棍棒	Hercules' Club	
49	竜神棒	Dragon God Pole	
50	デビルスタッフ	Demon Staff	
51	超メガトンロッド	Megaton Rod	
52	如意棒	Ruyi Jingu Bang	
53	武器・0x035	Weapon 0x035	flr
54	特大ペンライト	Giant Penlight	
55	古代樹のメイス	Sequoia Mace	
56	武器・0x038	Weapon 0x038	flr
57	武器・0x039	Weapon 0x039	flr
58	武器・0x03A	Weapon 0x03A	flr
59	武器・0x03B	Weapon 0x03B	flr
60	武器・0x03C	Weapon 0x03C	flr
61	武器・0x03D	Weapon 0x03D	flr
62	武器・0x03E	Weapon 0x03E	flr
63	武器・0x03F	Weapon 0x03F	flr
64	武器・0x040	Weapon 0x040	flr
65	レザーウィップ	Leather Whip	
66	仮１．５ウィップ	(prov) 1.5 Whip	flr
67	調教用鞭	Training Whip	
68	分銅鎖	Fundo-Kusari	
69	ハードウィップ	Fierce Whip	
70	武器・0x046	Weapon 0x046	flr
71	緊縛のウィップ	Manacle Whip	
72	シダ植物の鞭	Fern Whip	
73	スキンリッパー	Skin Ripper	
74	電磁ウィップ	Electromag Whip	
75	チェーンウィップ	Chain Whip	
76	バーンウィップ	Burn Whip	
77	女傑の鞭	Hero Whip	
78	ペインウィップ	Agony Whip	
79	白薔薇の鞭	White Rose Whip	
80	打神鞭	Fengshen Whip	
81	ナインテイル	Nine Tails	
82	青薔薇の鞭	Blue Rose Whip	
83	雪の女王の鞭	Queen's Whip	
84	金鞭	Golden Whip	
85	武器・0x055	Weapon 0x055	flr
86	鐘と薔薇の鞭	Rosebell Whip	
87	探検家の鞭	Explorer's Whip	
88	武器・0x058	Weapon 0x058	flr
89	武器・0x059	Weapon 0x059	flr
90	武器・0x05A	Weapon 0x05A	flr
91	武器・0x05B	Weapon 0x05B	flr
92	武器・0x05C	Weapon 0x05C	flr
93	武器・0x05D	Weapon 0x05D	flr
94	武器・0x05E	Weapon 0x05E	flr
95	武器・0x05F	Weapon 0x05F	flr
96	武器・0x060	Weapon 0x060	flr
97	模造日本刀	Imitation Katana	
98	無銘の刀	Unmarked Katana	
99	斬馬刀	Zanbato	
100	隕鉄刀	Meteorite Katana	
101	菊一文字	Kikuichimonji	
102	武器・0x066	Weapon 0x066	flr
103	九十八式軍刀	Type-98 Gunto	
104	蛇牙刀	Jagato	
105	備前長船	Bizen Osafune	
106	帝国刀	Imperial Sword	
107	仕込み煙管	Shikomi Kiseru	
108	虎御前	Toragozen	
109	大般若長光	Nagamitsu	
110	物干し竿	Monohoshizao	
111	鬼神刀	Kijintou	
112	達人の居合い刀	Iai Katana	
113	不動正宗	Fudo Masamune	
114	紅雪左文字	Samonji	
115	血繁吹く魔刀	Red Demon Blade	
116	七百七十七支刀	777 Katana	
117	武器・0x075	Weapon 0x075	flr
118	逆刃の刀	Sakabatou	
119	あばら骨刀	Ribcage Katana	
120	武器・0x078	Weapon 0x078	flr
121	武器・0x079	Weapon 0x079	flr
122	武器・0x07A	Weapon 0x07A	flr
123	武器・0x07B	Weapon 0x07B	flr
124	武器・0x07C	Weapon 0x07C	flr
125	武器・0x07D	Weapon 0x07D	flr
126	武器・0x07E	Weapon 0x07E	flr
127	武器・0x07F	Weapon 0x07F	flr
128	武器・0x080	Weapon 0x080	flr
129	ビームサーベル	Beam Saber	
130	ルミナサーベル	Lumina Saber	
131	ポイズンサーベル	Toxoid Saber	
132	パープルサーベル	Violet Saber	
133	エクラサーベル	Eclat Saber	
134	武器・0x086	Weapon 0x086	flr
135	素粒子サーベル	Particle Saber	
136	ステラサーベル	Stellar Saber	
137	アルファサーベル	Alpha Saber	
138	エルグサーベル	Erg Saber	
139	ファルシサーベル	Laplace Saber	
140	イオンサーベル	Ion Saber	
141	ベータサーベル	Beta Saber	
142	アノードサーベル	Anode Saber	
143	カソードサーベル	Cathode Saber	
144	中性子サーベル	Neutron Saber	
145	ガンマサーベル	Gamma Saber	
146	フォースサーベル	Force Saber	
147	オメガサーベル	Omega Saber	
148	ツァーリサーベル	Tsar Saber	
149	武器・0x095	Weapon 0x095	flr
150	理力サーベル	Riryoku Saber	
151	アラビアサーベル	Arabian Saber	
152	武器・0x098	Weapon 0x098	flr
153	武器・0x099	Weapon 0x099	flr
154	武器・0x09A	Weapon 0x09A	flr
155	武器・0x09B	Weapon 0x09B	flr
156	武器・0x09C	Weapon 0x09C	flr
157	武器・0x09D	Weapon 0x09D	flr
158	武器・0x09E	Weapon 0x09E	flr
159	武器・0x09F	Weapon 0x09F	flr
160	武器・0x0A0	Weapon 0x0A0	flr
161	仮・参加前パチンコ	(prov) Sling	flr
162	スリングボウ	Slingbow	
163	梁山泊	Mount Liang	
164	大型パチンコ	Large Slingshot	
165	パライズボウ	Paralytic Sling	
166	流れ星	Shooting Star	
167	岩石飛ばし	Rubble Launcher	
168	キャットナップ	Catnap	
169	ノーザンライト	Northern Light	
170	ストロンガー	Strongarm	
171	インターセプト	Interceptor	
172	コメット３	Comet 3	
173	オーバースロー	Overthrower	
174	ダビデ	David	
175	大花火	Grand Fireworks	
176	巨星落砲	Star Slayer	
177	トムソーヤ	Tom Sawyer	
178	五光石	Chromatic Orb	
179	ユートピア	Utopia	
180	武器・0x0B4	Weapon 0x0B4	flr
181	カタパルト	Catapult	
182	スリープボウ	Sleep Sling	
183	炸裂パチンコ	Bomber Slingshot	
184	武器・0x0B8	Weapon 0x0B8	flr
185	武器・0x0B9	Weapon 0x0B9	flr
186	武器・0x0BA	Weapon 0x0BA	flr
187	武器・0x0BB	Weapon 0x0BB	flr
