id	oid	name_jp	name	tag
4096	0	ブランク	Blank	bln
4097	1	アタック	Attack	unk
4098	2	アギ	Agi	val
4099	3	アギラオ	Agilao	val
4100	4	アギダイン	Agidyne	val
4101	5	マハラギ	Maragi	val
4102	6	マハラギオン	Maragion	val
4103	7	マハラギダイン	Maragidyne	val
4104	8	焔弾	Fire Spray	unk
4105	9	ラグナロク	Ragnarok	val
4106	10	ブランク	BLANK	unk
4107	11	ブランク	BLANK	unk
4108	12	ブランク	BLANK	unk
4109	13	ブランク	BLANK	unk
4110	14	ガル	Garu	val
4111	15	ガルーラ	Garula	val
4112	16	ガルダイン	Garudyne	val
4113	17	マハガル	Magaru	val
4114	18	マハガルーラ	Magarula	val
4115	19	マハガルダイン	Magarudyne	val
4116	20	旋風	Cyclone	unk
4117	21	万物流転	Panta Rhei	val
4118	22	ブランク	BLANK	unk
4119	23	ブランク	BLANK	unk
4120	24	ブランク	BLANK	unk
4121	25	ブランク	BLANK	unk
4122	26	ブフ	Bufu	val
4123	27	ブフーラ	Bufula	val
4124	28	ブフダイン	Bufudyne	val
4125	29	マハブフ	Mabufu	val
4126	30	マハブフーラ	Mabufula	val
4127	31	マハブフダイン	Mabufudyne	val
4128	32	極寒パラダイス	Icy Paradise	val
4129	33	ニブルヘイム	Niflheim	val
4130	34	氷槍	Frozen Spear	unk
4131	35	ブランク	BLANK	unk
4132	36	ブランク	BLANK	unk
4133	37	ブランク	BLANK	unk
4134	38	ブランク	BLANK	unk
4135	39	ジオ	Zio	val
4136	40	ジオンガ	Zionga	val
4137	41	ジオダイン	Ziodyne	val
4138	42	マハジオ	Mazio	val
4139	43	マハジオンガ	Mazionga	val
4140	44	マハジオダイン	Maziodyne	val
4141	45	ブランク	BLANK	unk
4142	46	真理の雷	Thunder Reign	val
4143	47	ケラウノス	Keraunos	unk
4144	48	閃雷	Thunder Clap	unk
4145	49	天帝の雷光	Empyrean Storm	val
4146	50	ブランク	Blank	unk
4147	51	メギド	Megido	val
4148	52	メギドラ	Megidola	val
4149	53	メギドラオン	Megidolaon	val
4150	54	ブランク	BLANK	unk
